,std,mean,power2,power7,power5,kurtosis,skewness,power10,power4,power9,power6,power1,power8,class,power3
100032.wav,5387.262558273882,-0.17320051413881749,0.2187193326701938,0.021339302314806918,0.10791467056469801,8.37866127299646,0.2906758753108697,0.00405821547244094,0.28604688887526,0.007274865524329611,0.049450611529071264,0.030801608905666165,0.011321056905523909,dog_bark,0.2630734472380094
100263.wav,172.62240480426982,-2.877834701853514,0.07779785908281144,0.10235308014849628,0.09191053811220799,10.631200911507795,-0.03714146238050591,0.09422343259424576,0.11209466595377542,0.0959857854460838,0.14562347305316814,0.0827271231868189,0.10831437742853484,children_playing,0.08896966499385746
101729.wav,,,,,,,,,,,,,,air_conditioner,
101848.wav,1100.1045956843632,-0.4869060016824779,0.17054086092811524,0.056053133892286715,0.10959767091978216,7.459590365188562,-0.010952992312432908,0.053987038737614276,0.1276356743497989,0.050199787526469086,0.06639301030219118,0.15697862170498605,0.05211853433377717,street_music,0.15649566730497924
102102.wav,697.5404067995973,-1.0284627788875784,0.058668756691360124,0.1540609192909136,0.12574800681097212,11.638605382454246,0.20431192856339644,0.09865572164008987,0.11808893435718434,0.133427651935003,0.11396666840062708,0.04373405799153611,0.07537471807320976,dog_bark,0.078274564809104
102103.wav,600.4652750276624,-0.9452946020333292,0.10883888660953517,0.09198713024624257,0.09292877957365052,42.22273636147749,0.5766109183641445,0.03328179843219071,0.16961601909184199,0.04712153018490832,0.09654448575559316,0.11054848797525516,0.06686690779362212,dog_bark,0.1822659743371603
102104.wav,605.2554996766263,-0.9492491534643174,0.1679587488711952,0.07856586389909301,0.0849975535641239,28.942794453391187,0.5105453145615275,0.04916598926709141,0.20344476182263027,0.05704700240151843,0.08843656068208405,0.09072948651643319,0.0695189849381862,dog_bark,0.11013504803764433
102105.wav,1034.4856716073284,-1.0780191645516417,0.17356912773036887,0.07643315501101561,0.1090351930673226,27.331530661978956,0.5701580322330116,0.028955271278382242,0.11304717862762063,0.04394409839385622,0.10395575498148604,0.08182429827103903,0.04366833678689001,dog_bark,0.22556758585201875
102106.wav,1315.0178815323966,-0.8020834297669854,0.17794862147095397,0.1364065522040636,0.0782443489883577,8.22080799061015,0.11214339597445067,0.031075321860654044,0.10269453960817675,0.032704653367816465,0.1020624363667061,0.057238544639169546,0.07118356563905034,dog_bark,0.21044141585505147
102305.wav,2039.0501788604831,-77.4220643906505,0.2853296110774481,0.018815110987755467,0.03690096923000382,20.315157577621815,-0.48573109483993776,0.011891001088471787,0.06588512241242324,0.018592011435546514,0.026430896423056897,0.3478385016686474,0.02867910711993714,gun_shot,0.15963766855670966
102853.wav,1345.843776013449,1.1935939994824964,0.11079538412958696,0.1228039760704607,0.09812070127136395,8.446615815177653,-0.02795494896451225,0.07142519219290225,0.07859040106262045,0.0854162169230006,0.1412215258783841,0.11635241607644466,0.09838471687562504,siren,0.07688946951961131
102857.wav,4588.335300153515,0.7582131629359712,0.09409542224385643,0.10012537914609672,0.09854887498811479,2.6929435488101587,-0.1752778360088775,0.1115396513405425,0.09951043361099746,0.10720081067328012,0.09956980511027344,0.09423949825321223,0.0997054795539684,engine_idling,0.0954646450796579
102858.wav,5956.297249973465,-2.303340136054422,0.15121912215431282,0.048367141550207444,0.16302176745196975,3.3925650626009833,-0.04425849987194328,0.008124058440046194,0.14771722377079943,0.011994407629821352,0.15848246006898067,0.14384904956144717,0.014185323743596373,engine_idling,0.15303944562881877
102871.wav,1593.5296332517705,1.5604573052988142,0.14806925868405238,0.07070335605592222,0.1280668916159393,5.265338893644529,0.012010123835096278,0.03332036564925612,0.11831532240689438,0.04327204519772286,0.08933700014717144,0.14019200175874158,0.058823791878898045,siren,0.16989996660540166
103074.wav,,,,,,,,,,,,,,jackhammer,
103249.wav,,,,,,,,,,,,,,engine_idling,
103258.wav,,,,,,,,,,,,,,engine_idling,
103357.wav,,,,,,,,,,,,,,drilling,
103438.wav,1555.9733949863426,-1.5594584107994502,0.09399991146706813,0.11721694010860845,0.10579755857117795,9.248946005856798,-0.09589540600848594,0.04203765736888511,0.10483849991853691,0.11365835233961062,0.09458584595561174,0.11806007573153887,0.11514250351484977,engine_idling,0.09466265502411243
104327.wav,1727.8162130525873,-9.885001947080985,0.1938277519560516,0.0011361825345533355,0.002054702214888077,8.228534601082226,0.1734934441034627,0.0011469366781777202,0.0866785988631504,0.0011425463895196677,0.0011318921923508991,0.597599565643088,0.001145891490339905,children_playing,0.11413593203787932
104625.wav,,,,,,,,,,,,,,drilling,
104817.wav,,,,,,,,,,,,,,drilling,
104998.wav,1252.240317455061,-23.312787793709468,0.09004947941803612,0.08589969735905943,0.15175899641374058,23.552404362117315,0.038047759459163555,0.09575995744487273,0.09542091202935284,0.11204786781327068,0.10841878773709528,0.07297150348589716,0.09287163472009255,jackhammer,0.0948011635785826
105029.wav,1529.6605873006802,-22.454776175135013,0.06733270654766765,0.11918900970246259,0.11637470945285673,23.635486522523042,-0.10514334496803422,0.02220803606770224,0.15421974475556924,0.08202206216711028,0.14938142014086744,0.03306648113965822,0.1428162823626893,jackhammer,0.11338954766341632
105088.wav,1319.0393450516626,-2.5205792429522504,0.06429447905923134,0.09109481730587024,0.09148401421819922,44.91099962823269,-0.9089855647135485,0.15126672675122074,0.13145388690234724,0.03560531758310648,0.14150280987196634,0.09037839929911146,0.11479325792129516,dog_bark,0.0881262910876518
105289.wav,2092.547094354638,-14.900076050325113,0.01594886625261837,0.46451009153868583,0.063305159748541,55.71473801242541,-0.1896028923033853,0.012264149352954714,0.029465186861183733,0.020737934833498547,0.327403512525055,0.02533969528783792,0.024454830864136707,siren,0.016570572735488183
106014.wav,,,,,,,,,,,,,,engine_idling,
106015.wav,,,,,,,,,,,,,,engine_idling,
106955.wav,4845.574434988416,120.00426648358385,0.06502853510958562,0.11562836448273849,0.018345261056873046,21.563939445135148,0.4725007003357398,0.06176593279130761,0.04969705748549562,0.1050390547118455,0.05348663404672025,0.008783975286094628,0.08288975952519692,gun_shot,0.4393354255041423
107090.wav,916.9206809262442,1.7330774791726258,0.0636179489072132,0.15619767620120675,0.06708520514059295,35.456934851571695,-0.17472689896431576,0.0853067560605499,0.062027094277375704,0.09120105825600405,0.07333244123001673,0.16037711165945218,0.18002091845117363,car_horn,0.06083378981641491
107190.wav,3512.8946132461306,26.418126319392936,0.23213778020709927,0.025933686721148676,0.20741446535627672,5.922941050769522,-0.1632802362222448,0.01831405947893836,0.03510287072078632,0.08352489629023012,0.057850571352526275,0.0850834472001821,0.16781043656745298,dog_bark,0.08682778610535917
107228.wav,2247.540964418847,-0.4719014247007682,0.09828418614849728,0.07236053848034771,0.13498557209451506,15.697095655496785,-0.09058674674169918,0.015817658542252293,0.1310664196376948,0.057875286629421124,0.12420438658839006,0.1771591263138219,0.05821908745476962,engine_idling,0.13002773811029017
107357.wav,2157.3246902845885,0.0024860179283759942,0.06988105448814731,0.07476985069695258,0.12358735180819473,12.070521509467005,-0.04904726985654354,0.08952539816243253,0.08690473497725726,0.1721662250365152,0.09626265702199328,0.12561447081649008,0.0840929065131379,siren,0.07719535047887911
107842.wav,3892.253859655924,-28.491032976134136,0.12497460273373938,0.11712116269145506,0.028812124649784308,5.340016118910428,-0.030181738386475393,0.027773205980486052,0.042841419225801834,0.15835639605096744,0.0890623193653695,0.1058079510048016,0.14206332506103872,drilling,0.1631874932365561
108041.wav,3988.135869033254,-16.57845939867424,0.1108409678901875,0.09208614787850743,0.08609955136828767,3.8309465284515736,-0.024908036801669753,0.05292643855180987,0.12709046495124007,0.10907752056127276,0.09125104029111256,0.11364281582478658,0.09766503259390925,street_music,0.1193200200888863
108187.wav,4470.028526131939,-124.87508738637132,0.09076335066744105,0.130748274945498,0.09026918496192049,5.270045775809114,-0.04606880931561684,0.04190358091783484,0.10613558587792128,0.10337595348478404,0.12123242351438962,0.0857866870830797,0.1180567913310774,dog_bark,0.11172816721605357
108357.wav,,,,,,,,,,,,,,street_music,
108362.wav,,,,,,,,,,,,,,children_playing,
109263.wav,1924.747832502949,-0.4989821987127082,0.01222184851063827,0.012577201758903206,0.012406164716276102,20.665839636830796,-0.25527851826790277,0.012566800809800275,0.012453658223933309,0.012609402175662966,0.012353601875103835,0.8883044444746374,0.01228906893516699,street_music,0.012217808519877332
110134.wav,3836.175187339806,-2.9356414783899836,0.1693338373462123,0.12196058878144989,0.08476452967490028,14.392896539494608,-0.8283955301692683,0.0021335915828326513,0.04842815817934103,0.015941501006693396,0.07328504098150036,0.2741383515352788,0.08658923597509932,dog_bark,0.12342516493669195
110371.wav,,,,,,,,,,,,,,dog_bark,
110389.wav,3696.629808458867,-9.329369480386116,0.3723073259460026,0.007775095257474349,0.023372826425913887,17.640915817918376,0.4075774902697455,0.0003129792402607073,0.06930371256190712,0.0015409492164733037,0.021550441251657077,0.0622304602467195,0.005927035774891355,dog_bark,0.4356791740787001
110621.wav,5751.583815624812,-5.399836564973762,0.11353456672978074,0.11610947485518966,0.10215198918002004,3.3842740991198474,-0.07729381452555588,0.05370692799671984,0.10342638220431641,0.1001675117347524,0.11481774453470171,0.08170113564978705,0.10158041141774012,jackhammer,0.11280385569699204
110622.wav,3314.375043624561,-44.39818357726889,0.3382037130006125,0.004109901307920541,0.013773599843528817,21.887234137334882,1.3796209817052898,0.0001256393910632984,0.06559559224004823,0.0010362885086560348,0.005763417364181508,0.3399657934687895,0.002469053639968878,gun_shot,0.2289570012352306
110688.wav,1916.8331175757348,0.013551912707675856,0.03781624383141134,0.08414437003801525,0.046982099329713194,18.634882343325145,0.08688992359514687,0.08703599059894529,0.049626531061361605,0.19071714437384463,0.043433438887447946,0.023349634074218185,0.39007739242491535,dog_bark,0.04681715538012718
110918.wav,,,,,,,,,,,,,,dog_bark,
111048.wav,4079.582604858208,-66.41428507536115,0.10149233857127886,0.001925552282084406,0.007689450228834969,39.35384022915823,-0.25436768009867655,3.755563040420514e-05,0.016378280819812772,0.00023759194018916342,0.003831815992393212,0.8277467246683167,0.0007511726970927496,gun_shot,0.03990951716959298
111671.wav,1772.4386342675543,-1.5335414311862676,0.10040833311167426,0.10794516959811976,0.10599633836190882,5.529201125305139,-0.009008371654514067,0.07607110902240355,0.10789304646976206,0.10784220250555729,0.10339791833573966,0.08960591681590929,0.09674195415618295,siren,0.10409801162274236
113601.wav,,,,,,,,,,,,,,street_music,
113785.wav,11539.263342340128,-105.87010432905625,0.07723038525893025,0.0022556146447238654,0.004863504803711396,4.146201065645181,0.12238634372478213,0.0006800552389961265,0.013903678284103918,0.0008738513934761606,0.0028079047094370867,0.869719069501234,0.001149872742339425,dog_bark,0.026516063423047537
114280.wav,5044.694553041856,-1.2406548620384663,0.0388370289002528,0.0013041942602100467,0.005092486356903556,13.955401957582268,0.189333730993491,0.0005057442381599218,0.009745850381391927,0.000588541850564476,0.002360192260106192,0.9094332504396437,0.0008225054814355438,dog_bark,0.03131020583133189
114587.wav,2932.64314852851,0.18465079868426149,0.15434904439988062,0.10513414855477869,0.14018372778386945,19.34011805669628,0.9775135028569296,0.05049903742367497,0.065149640026048,0.09273840684414489,0.13899763641238602,0.04503095754250358,0.09041543095158736,dog_bark,0.1175019700611264
115239.wav,1759.8706614733069,-0.6723013867962415,0.23664696052046807,0.050105876194005985,0.09518339484370099,35.87876245135635,-0.664022452968757,0.04255293101979867,0.11495582218713493,0.03515072199757143,0.061616998271260874,0.11852681237978532,0.045881306458867815,street_music,0.1993791761274059
115240.wav,1116.9539702609266,-1.3744774009005674,0.09344940689676323,0.11856802527831058,0.08360108438950188,8.970827642243949,0.08008767105466547,0.09246050591111026,0.08169453529692389,0.09552935637317715,0.1037155464140673,0.08561583297508021,0.13601279875684527,street_music,0.10935290770822025
115241.wav,284.3574384878168,-1.7122537410227463,0.13356640655051621,0.09062541100386054,0.10808797555411194,8.519142377061478,0.06842020570003904,0.05671602104633135,0.09651916710488655,0.07084940410079064,0.09524792675787024,0.14266564140531465,0.08827935240935524,street_music,0.11744269406696264
115242.wav,1393.0296993252532,-0.765928917336021,0.12871853526610721,0.1139316459507861,0.09193897572768182,10.1779719792434,0.07531878799029183,0.049370546708770606,0.06419821765988691,0.09131754551595538,0.12478910957849272,0.08431683734714195,0.11651564848866489,street_music,0.13490293775651244
115243.wav,928.2378647542026,-0.7640053360095601,0.06292046260797074,0.12170061992378411,0.10536184529890572,6.656044258921157,0.0020184945186407575,0.08607543395485745,0.09673657942410725,0.12798136908876667,0.0995446617480685,0.07155662310715588,0.11312063166816408,street_music,0.11500177317821958
115411.wav,,,,,,,,,,,,,,dog_bark,
115415.wav,,,,,,,,,,,,,,street_music,
115418.wav,,,,,,,,,,,,,,street_music,
115535.wav,,,,,,,,,,,,,,dog_bark,
115536.wav,,,,,,,,,,,,,,dog_bark,
115537.wav,,,,,,,,,,,,,,dog_bark,
116163.wav,,,,,,,,,,,,,,dog_bark,
116423.wav,3430.8357402870884,9.847115049957131e-05,0.06247355032880518,0.1364040730464252,0.11115765857376839,8.331365244213007,-0.0444442793232943,0.07629377515134217,0.12468383675328566,0.18387585849458957,0.10084896896275765,0.044949082650557394,0.08392141225957987,children_playing,0.07539178377888892
116483.wav,1759.7272470026537,-1.0916575391531398,0.13296378717306814,0.05530989035997894,0.13087008840121345,47.46833741813983,-0.43670932826021786,0.06277382217582678,0.14970445524464096,0.020355203106485014,0.008215963802840684,0.13202416398336492,0.13455430710706023,dog_bark,0.17322831864552085
116484.wav,1567.4006324198078,-0.9434691758695254,0.11128691280497562,0.1254207192457633,0.05604162228114549,37.94108669335227,-0.14311276598728978,0.1274159398550071,0.049844876963712995,0.08576871755085073,0.10759312700861039,0.17301966452170628,0.08055871805556902,dog_bark,0.08304970171265905
116485.wav,1316.746341665227,-1.1268982893722976,0.23911681902078272,0.005746202561163584,0.02162975300549517,49.80979767681996,-0.30933078671411995,0.0011444589584910703,0.02225831199060655,0.0022180639401023646,0.00817596575849171,0.6669389033033225,0.00457070458575532,dog_bark,0.028200816875788605
117048.wav,1747.2506400225316,-13.20890578829351,0.10878435922618235,0.12671323555385527,0.11030287687085925,15.445448810198315,0.01104244684758575,0.07206319181622038,0.09793788335086287,0.0856949838421066,0.11175565896767774,0.08709752222212816,0.11727581317545421,dog_bark,0.08237447497465318
117181.wav,2477.071445111103,-0.1316079211587024,0.18228772514156197,0.07924108611968399,0.08237282925298055,5.482982496041147,0.04014337007713169,0.027954664316242665,0.10517695646744536,0.04944610144785099,0.07592870994088677,0.14207751406854413,0.058335712367804486,siren,0.1971787008769991
11722.wav,,,,,,,,,,,,,,dog_bark,
117271.wav,7984.538615312677,6.737571652350542,0.08815166544519057,0.1407257698217622,0.12321424895716701,7.5740164319957906,-0.15420903303172198,0.06379205940869903,0.11845241065178218,0.10474277832559986,0.12516455497918347,0.07077387098951494,0.09261765267214574,dog_bark,0.07236498874895501
117536.wav,1248.0286454609095,-1.0671860274811338,0.07509900649160471,0.04868171828949985,0.11445503383518336,27.092508629097715,0.10670037476717184,0.07173825043141299,0.08714578968790919,0.10729960695253152,0.23436079874850882,0.07509443132638594,0.09589971276536312,car_horn,0.0902256514716005
117889.wav,1297.6366411919873,-5.3095089766098435e-06,0.09851223840449355,0.0994907409986197,0.143429858069057,9.137002566076893,0.04322258784316988,0.011451413909493289,0.1745226678519928,0.04460618911505801,0.10611274829647055,0.10609402422304251,0.07562370732192489,street_music,0.1401564118098477
118070.wav,,,,,,,,,,,,,,car_horn,
118072.wav,,,,,,,,,,,,,,dog_bark,
118101.wav,,,,,,,,,,,,,,dog_bark,
