,kurt7,min11,med4,skew13,power6,kurt4,std3,skew9,med12,med10,power8,max12,skew11,max6,min5,max1,max3,std13,kurtosis,power3,max5,std2,av3,skew4,min12,av11,med3,kurt2,med7,med9,kurt6,av7,med8,skewness,kurt5,med6,skew12,kurt12,med13,power1,av12,mean,max9,min1,skew8,av1,max11,av8,std4,kurt9,min2,min4,max2,av9,power5,skew1,med11,max4,max8,med5,av4,kurt8,kurt10,skew3,kurt1,skew2,class,std5,skew6,min3,std8,med1,std7,power10,std9,min7,kurt13,med2,av6,min10,skew7,skew5,std10,min9,std11,std1,min13,av2,skew10,power7,std,av13,av10,kurt3,max10,av5,max7,min6,power2,std6,power4,min8,max13,kurt11,power9,std12
100032.wav,-0.07040092553509991,-18.67543415887664,-22.182069855677828,0.11779333432601292,0.049450611529071264,-0.31277130919584195,7.7802530997128345,-0.845638921225648,-0.1212021654251377,-10.877881858097927,0.011321056905523909,17.497328657020983,-0.4649053609939628,-8.821306691323375,-50.94415059937343,21.770005518187997,9.345182811447561,5.480684559330259,8.37866127299646,0.2630734472380094,0.0682287465477528,5.594778223088524,-8.747583866367947,-0.3061742394975459,-15.547939331759462,5.2909377889042055,-9.673568823393072,0.8349400794869779,-3.1784609006605105,-3.4148205580766833,-0.844265698878238,-4.022489515866439,1.6523069203938845,0.2906758753108697,-0.47474067178121526,-45.41326087961247,-0.15153365170124736,0.1884910641588462,-3.896569652025453,0.030801608905666165,0.43584688032471003,-0.17320051413881749,9.783842479919361,11.51384936564019,-0.6476883404950537,17.06184095177448,19.31683631635364,-0.8513110374466057,7.374384663549013,0.5508020681066395,-3.6526888568710154,-43.90804381380881,28.442238892971698,-4.543796231320665,0.10791467056469801,-0.07031988024287515,5.760565701299362,-8.837794175125754,20.280536326928683,-21.83614151487338,-22.801435666771983,1.0391885756993275,0.6489838327624211,0.24241437300235044,-1.3971006195018638,-0.20981209756549418,dog_bark,11.185668790729583,0.12377864907400078,-25.97633936353718,8.318676549597619,17.07128842750826,11.231653912382757,0.00405821547244094,8.691726233309565,-32.419236574966945,-0.40477880686281775,13.734527086248427,-41.8345421468359,-36.02614820393253,-0.15624340381424165,-0.35288628936565875,7.787177923518822,-29.795142233002384,7.542348764309313,3.115232399326704,-14.838348519424464,13.914073474415675,-0.6933507303054932,0.021339302314806918,5387.262558273882,-3.6878619012183713,-10.977857721253157,-0.2646556156433091,2.630640479632279,-21.979315208577848,25.780916887919712,-74.07619633292718,0.2187193326701938,16.140037021611803,0.28604688887526,-27.837697688617563,9.329146996813604,0.4066355050991688,0.007274865524329611,6.568383857587094
100263.wav,0.7665018048081609,-53.59265811687905,-38.23185855538616,0.06213357930818158,0.14562347305316814,0.2971774749312006,4.916808424164432,-0.2470016080941358,-5.770335369120635,-13.716224774234055,0.10831437742853484,55.068363323799936,-0.7329821548709888,15.359161984895305,-18.278490089639625,17.323721283013032,17.566473046394865,8.533501641937935,10.631200911507795,0.08896966499385746,58.25044017809176,4.085371310506677,-5.163345629602088,0.019846875691690646,-56.35495324107126,23.189223051644795,-5.103172277165346,3.3034356759285615,23.81310581751078,7.354298829835786,0.5587314313210543,24.528394881098208,-6.62992169601945,-0.03714146238050591,0.5221336093399445,-23.074699477792173,0.012729178856211379,1.2174840044920776,-1.230005924175431,0.0827271231868189,-5.899034884570371,-2.877834701853514,50.77324936448005,9.203070124080138,-0.2885729583479466,11.672887618314364,69.603675917221,-7.167958258580791,7.924814593004278,0.5408137588476194,-21.356586770208757,-72.45921495537904,25.707819528088066,7.025870894471315,0.09191053811220799,1.3812954155484665,24.04732987978348,-1.5562690002515693,39.28578580419068,25.32109584182952,-38.280966102362854,0.4461011779597359,1.0830571904047552,-0.11925480236490858,4.2129199155522485,-0.849840787671696,children_playing,8.305394649161606,-0.34075189100226233,-30.70570438650763,9.643735382312519,11.569862252985303,9.949495932926007,0.09422343259424576,9.85910935645197,-23.056908356712484,0.1893795631645916,12.280787562960068,-23.50820352456805,-62.56093621729681,0.4637837982979687,-0.3460714421220759,10.63269798274291,-44.36565553934657,10.805853822241875,0.9416134238123278,-42.71651539005525,12.043633006919285,0.563551368492177,0.10235308014849628,172.62240480426982,-1.1389958732224637,-12.899533282426514,0.330340817660983,51.084205333516955,24.877138774121306,82.8479325841,-82.38256469922521,0.07779785908281144,10.379952794618633,0.11209466595377542,-56.48949412468701,43.92413422081071,1.990391101486777,0.0959857854460838,9.269602493846653
101729.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,air_conditioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101848.wav,0.3764281990508076,-51.590185958564454,-4.53280797784651,0.08048621674781556,0.06639301030219118,0.3237982588125363,5.022500087984197,0.043048391421179145,-3.410782606162711,4.9784756593649515,0.05211853433377717,38.34952770193624,-0.09545218790758675,0.6681071315097872,-29.88210523567395,20.3850778991268,23.263494053442322,8.099396204425183,7.459590365188562,0.15649566730497924,35.84706732079529,5.264195771263817,6.114678875668107,-0.23396522546909243,-41.911181883522914,-8.636588696605934,6.320479924542784,0.09767166466423349,10.366664992159158,1.0926086926761405,0.25915241208346274,10.469172325034707,-12.31927527405648,-0.010952992312432908,0.388807082726383,-28.096003995056517,0.029924434799567693,0.43507758625034443,-3.4511076004128722,0.15697862170498605,-3.4182862998531363,-0.4869060016824779,34.0502846972558,13.029849705466017,-0.07201323966481933,14.858320972983442,30.65104335292399,-12.368083925741885,6.722961100325767,0.21884701794806016,-25.80635326139292,-32.96824597593503,19.061122258436473,1.1559922493717523,0.10959767091978216,0.8298859173160993,-8.547731491318597,20.753472973287742,18.479785519362736,7.073872777462933,-4.736938260070567,0.23705350628236888,0.2970814753982851,-0.43782017039952853,0.30187179209176485,-0.11315539094907055,street_music,7.351047716622144,-0.0670737957559605,-17.72992323368332,8.348800276487374,14.646599680516694,8.618496558147623,0.053987038737614276,8.849723287136124,-27.0284245732548,0.20805729070601497,2.817389021852883,-28.227391072235406,-30.464521697583166,0.03382225533412254,-0.2046931191444807,9.113649191015384,-34.93857031594185,9.108994303275415,1.012576716612814,-38.57593921329412,2.858192372509434,0.14343440597263515,0.056053133892286715,1100.1045956843632,-3.317223748055428,5.075511483606624,0.7982921270036356,42.86182394737315,6.869973156299322,46.43376155612898,-58.02246111124885,0.17054086092811524,7.534598121320501,0.1276356743497989,-47.90849732409612,32.238766248035375,0.39532983137226196,0.050199787526469086,8.550896762779665
102102.wav,-0.18888473864264022,-52.14381669496767,-22.182355613555703,0.22182473174516057,0.11396666840062708,-0.06640836256568017,7.223170159907154,-0.12986778962129164,8.497537567830193,2.8719497379484547,0.07537471807320976,45.77582552278041,0.08731021474561217,-17.172467702039683,-14.168730835769459,18.135128006186747,17.200187875532162,10.882374815444596,11.638605382454246,0.078274564809104,42.13443236776328,5.654339426060976,-7.450119396103363,-0.20959817751967993,-27.500664995295665,-14.519597594424178,-8.681906450779982,-0.06565661667496103,29.395999696945925,-15.516408213558778,0.021124063328087583,29.42623525894276,-28.141925511202246,0.20431192856339644,-0.06000216269941072,-48.08614006953353,0.12037424674587462,0.35540058244230455,-12.008823794959163,0.04373405799153611,8.859978165940587,-1.0284627788875784,9.99872344608244,11.046830318933733,-0.04933595274304001,14.712372268569586,26.52502905232674,-28.277360949323363,7.0425799334959684,0.1096760103899026,-10.745388681704805,-46.59843192086232,23.95329149648485,-15.706447601257793,0.12574800681097212,-0.10541807554193666,-14.43251968615818,-2.9141327820478176,5.955519299069546,12.602230010771033,-22.383163388756387,-0.1587132257148336,0.26994190245704885,0.7296269901128579,-0.03370536016448922,0.32721701416255944,dog_bark,8.104703945713931,-0.08826512676185079,-25.894037061562926,10.11631910963073,14.676548926485212,11.386909466655739,0.09865572164008987,8.803174885903122,-7.212480680843262,0.0027003897525244014,2.7224559660500085,-48.54245902130131,-39.53960260318814,0.0208271469247393,-0.055533081405240145,12.134017782244797,-46.086117310102004,12.025757248932175,1.1178017360694255,-43.05494091950276,3.034025881859797,-0.27501589419798433,0.1540609192909136,697.5404067995973,-11.132436340222403,1.7385948920138778,0.5082026328436395,44.9546284363208,12.391267049989718,61.04029204127713,-81.01094946339683,0.058668756691360124,10.246840023945007,0.11808893435718434,-58.933107920356136,22.60949762556807,0.2627745186344552,0.133427651935003,10.044750537962258
102103.wav,0.5367784110015212,-57.2506823078221,-25.180034738603005,-0.006326530845486325,0.09654448575559316,0.38510594363107176,5.740540918298128,-0.10417689871162684,10.838188309331361,6.63513992618738,0.06686690779362212,50.87882699356037,0.1994550004259142,-9.24120595165245,-20.92419888384488,20.484120713058644,13.02688448254397,10.336551064109276,42.22273636147749,0.1822659743371603,44.63201860378718,5.410509443604058,-11.938010147109406,-0.3269956957420036,-26.865093465245423,-14.467845918389202,-12.061314409232633,-0.2538539049726749,35.26914784297911,-11.583645715810945,0.32615830821335745,34.93606145221034,-22.77350673565296,0.5766109183641445,0.2720880585191989,-46.39572364064478,-0.05231429868165564,0.15988907702494348,-11.775150621671834,0.11054848797525516,10.356319677922919,-0.9452946020333292,24.326280762087364,9.951650728262296,-0.13273425250533774,14.638074938562061,26.871155900912147,-22.929260945434713,7.1107897596538265,0.3458935450709988,-20.033981822269038,-52.316164427622596,15.08721635506202,-11.58772380459286,0.09292877957365052,-0.3363922427850128,-14.785980376073987,-4.136974898864245,13.258393530735258,12.094507823696347,-25.584272185732747,0.3317747984324635,0.2704356328749653,0.18323503550665968,0.3637514140800011,0.04551195070657378,dog_bark,8.585670159197658,-0.19214383655217207,-33.83819114437252,10.12819373804265,14.848403431090842,10.194674670001135,0.03328179843219071,9.261972156289724,-1.4976120856475004,-0.0774200178863853,0.23762457209273186,-46.649582666002416,-31.331003015720206,-0.015606115650779863,-0.1042173347032222,11.0849883179345,-48.643315098103926,13.038991119749527,1.6305217255417936,-47.09368244735494,0.20712100025707547,-0.1071091333042121,0.09198713024624257,600.4652750276624,-11.468097316586856,6.395765536549825,0.4871976911246856,44.994084434604474,11.724173216343514,82.63927248637549,-90.23547403875364,0.10883888660953517,10.500248993609338,0.16961601909184199,-60.7715577716054,24.429736209443533,0.17859582069569413,0.04712153018490832,11.34186468360545
102104.wav,0.2662207648333874,-61.52238760254488,-24.69628932427525,-0.048370223526366135,0.08843656068208405,0.42536647171325015,6.4345120279197845,-0.09163326054607165,8.288523721435636,12.70861428349561,0.0695189849381862,62.85247751097171,-0.1683915081743615,2.046707410386446,-28.0922660517816,19.250266679558777,22.911296252282995,8.887511444138381,28.942794453391187,0.11013504803764433,44.385506217774854,6.895400225178749,-9.936737156432802,-0.2509977853993803,-27.460869234520374,-19.221680733839662,-10.309127254961183,29.162934284889893,34.56513348208039,-7.283193748615427,1.2017860163586462,34.38326197306178,-25.36132915908034,0.5105453145615275,0.5807951107871783,-43.35029589326109,0.22944335262970367,0.6731924211682441,-9.603945096604665,0.09072948651643319,8.525015724731624,-0.9492491534643174,31.541262433429097,6.354865095547306,-0.22278113797043494,14.823558078968238,14.977234363528792,-25.524871210765347,7.329858701764842,-0.1385174704908012,-67.941816548157,-53.466957440255804,16.697796035246544,-7.564864026248521,0.0849975535641239,-1.5127782324296846,-18.74063634209247,0.4910478025500219,3.893748595610765,10.20069918268125,-25.00655630378723,0.36777479242537936,0.005850285177635417,0.7217222120725123,7.344926563513262,-3.5832274852383845,dog_bark,8.8108387817945,0.11270751448676904,-34.48370413826005,9.819820337901731,14.943642664934957,10.415078237240689,0.04916598926709141,11.843045611897104,-8.351686116318819,0.2791332598194227,1.0897268611620685,-43.43399166197977,-30.53854397559961,-0.1739139142439054,-0.04353944526523334,12.143692527243566,-45.907652831082366,10.970131851933937,1.4437757206738504,-41.303487471958135,0.5930436763657035,-0.22922213582749543,0.07856586389909301,605.2554996766263,-9.72625605284413,12.231632621888155,2.6243555006525616,54.027536761027505,10.07701246072265,73.5516211410742,-81.98950834278641,0.1679587488711952,10.489593505501281,0.20344476182263027,-74.1547213889122,23.52599473948086,0.2596037843889074,0.05704700240151843,11.117775287255991
102105.wav,0.6344284507450952,-72.02332918234185,-26.119385100472012,0.05090421993393163,0.10395575498148604,0.32307404343491175,6.751925465173933,-0.04488411240780166,6.969627084846778,6.485136409251877,0.04366833678689001,59.84523368920724,0.0218627629295521,-11.989240485199367,-16.166387390596217,19.496358583957477,19.313522956731692,9.297785972928454,27.331530661978956,0.22556758585201875,44.56865193582756,5.423172752864621,-8.838482207632781,-0.1514211502475795,-30.430137242727863,-14.355475368612073,-9.493599109496026,0.15480655008964872,32.2935417855588,-11.303996352088454,0.022467997164126174,31.946790563681922,-26.07463923959649,0.5701580322330116,-0.01625486790403441,-47.078984471621645,0.21394420201199185,0.20221001501176605,-10.36586075890595,0.08182429827103903,7.572144176056094,-1.0780191645516417,21.568181636345876,11.110200065703507,-0.2637436399803079,15.188471119534592,33.33313296941585,-26.650201086231228,7.3117143936972875,0.14681104211943863,-17.109961696474898,-56.65072110460214,21.40826250906611,-11.197548463961521,0.1090351930673226,-0.17132591313280615,-14.429015266654881,-3.7434400440714066,5.093496766277428,9.975881810282983,-26.20102223388742,0.25619613519351025,0.16323283309163417,0.7293110830651299,-0.2989138774923017,0.12245567706314245,dog_bark,8.726815047409085,-0.16092916492168408,-28.802166358948153,10.671665331102616,15.29411918566745,11.414453523090575,0.028955271278382242,9.836356625730808,-16.021538835315674,0.03413746042998911,2.672614948558166,-47.15023175118111,-37.96957279100159,-0.319096077683273,0.02799521458186638,12.88409817823201,-43.94774286366507,12.736034876097632,1.4759049434517304,-44.48436055574589,2.8703447454726834,0.03883166236438573,0.07643315501101561,1034.4856716073284,-10.255113078964262,6.634765026213507,1.4269061860105774,52.85078371418564,9.838835389785867,73.42545639804149,-84.52714585183885,0.17356912773036887,10.759169088049923,0.11304717862762063,-65.17276514711202,23.948280582288984,0.13503638797015105,0.04394409839385622,11.453608873671383
102106.wav,0.709488663568028,-62.472983107350885,-24.87632268761594,0.5487728845987176,0.1020624363667061,-0.09037965679998772,7.385347945177137,0.10156086074173618,4.9641287168025,1.433956389243341,0.07118356563905034,42.67381387757435,0.311564607220206,-4.102009344769557,-20.64839285887651,20.458110997727612,18.09846642662604,16.00327652954866,8.22080799061015,0.21044141585505147,41.00778911207482,7.056346969075885,-8.049284200460443,-0.20648661733242016,-30.42252393101196,-14.773180444338402,-9.190805504743558,-0.13397137473387444,36.15375348379258,-12.506548668319617,0.02869609850876964,34.8961990689311,-22.84266163959619,0.11214339597445067,0.17515466346117403,-45.38652218351761,-0.0012542328438222591,0.13099615522051078,-7.9261874371723415,0.057238544639169546,4.529052640060756,-0.8020834297669854,21.735757663522598,10.547881499581855,-0.12837566867672548,16.048901072467256,42.27454163664892,-23.343791153475124,9.952288376585985,0.36681288537073664,-17.28800405061319,-55.892912603763214,22.883543789051906,-12.4038664383222,0.0782443489883577,-0.0739783731375851,-15.342377986868977,4.354754707194303,14.058875442115918,11.017226171213656,-25.64442632931593,0.5915273329115776,-0.7634596357300678,0.5992955481937998,-0.3360700429369299,0.41440152644123773,dog_bark,8.983666203939325,0.28634600054967146,-27.254257837885152,10.975694521794411,15.849439807844307,14.494031419998054,0.031075321860654044,10.048569819431266,-17.77272191774627,-0.3082683183586612,-0.6285841112794128,-44.283822730020155,-54.15542476114892,-0.41656249877099755,0.08213098703447845,19.36614195738223,-46.079124244849915,14.206407827737497,2.119918550662219,-43.347729538328764,0.26619893075723566,-0.31965827938860747,0.1364065522040636,1315.0178815323966,-4.9202061837303095,-2.067318821986428,0.27386179585833537,44.32543786049527,10.814951748152707,81.55248418411306,-89.48730285984907,0.17794862147095397,13.694016818444013,0.10269453960817675,-60.29517694929348,48.357952700562784,0.7785227491031126,0.032704653367816465,11.782067543555518
102305.wav,2.1231474385639064,-42.853706021243816,4.673984797481608,-0.12345779917933762,0.026430896423056897,-1.545733321774132,9.036901163221536,0.03600043725246636,5.500363398474363,-0.8531547423381262,0.02867910711993714,28.09235636063679,0.2651396165098639,16.42253204031676,-23.556268124987948,18.924677115402254,18.646047093272696,6.75833207547758,20.315157577621815,0.15963766855670966,48.24786502336292,12.469514455762118,0.8651655966802679,-0.2884083022257702,-24.02187196321006,-16.58861522405181,2.1298099475637335,0.6653917937458016,17.65913999391077,-5.305017957626499,-0.0054158775319730346,17.248029792796338,-19.171858649868746,-0.48573109483993776,1.4723453182874637,-22.52038068425021,-0.09385972975711787,-0.5228304038021951,-8.886005830152287,0.3478385016686474,5.246705822784744,-77.4220643906505,14.816405692827216,-36.04365338911715,0.10358866771801424,12.945851957397963,14.500266406623965,-18.739020143449167,17.700366508349056,-0.12595122265906422,-44.5667473919113,-36.97289015425401,19.22107183605377,-5.312442525131181,0.03690096923000382,-4.666708843219295,-18.224727699627636,23.950295002892624,13.812967008750492,23.023954661620117,-2.363089410816752,-0.1427875328097854,-0.9145691994382386,-0.29034503525276595,60.900486807531834,-0.7138895211926551,gun_shot,11.678473468288912,-0.05587635421398067,-20.854337064855674,10.150229095524248,11.962885580157897,8.18778813970712,0.011891001088471787,7.959105552370284,-15.474292872793852,0.06734886538169693,0.3935029983459348,-22.537424831648252,-36.37661575986259,-0.9148873365195528,-0.5917143696138849,13.599922098676162,-31.946014701313736,11.052511135077738,3.651713974236619,-29.826103186223484,-1.0532695503436358,-0.19374581733995544,0.018815110987755467,2039.0501788604831,-8.963826578826948,-2.9217606283702793,-0.8151826428428084,29.806406372832452,23.666596322561613,37.4270123535009,-48.46802230992088,0.2853296110774481,10.729432448708888,0.06588512241242324,-46.43978021135282,14.41292558585374,-0.545250383569146,0.018592011435546514,9.8410839846571
